excel_row,code,severity,detail
2127,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: REKA ALAMINDO UTAMA
2140,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: RICKY FEBRIANTO
2141,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: RICKY FEBRIANTO
2163,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ROESLINA PONDASI INDONESIA
2164,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ROESLINA PONDASI INDONESIA
2182,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: RUSDI
2223,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SANDI MULYA MANDIRI
2224,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SANDI MULYA MANDIRI
2231,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MUSLIM
2259,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SARJONO
2260,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SARJONO
2261,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SARJONO TS
2262,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SARJONO TS
2263,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SARJONO TS
2288,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SEMEN INDOGREEN SENTOSA
2289,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SEMEN INDOGREEN SENTOSA
2328,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SISWANTO
2339,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SOILENS
2340,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SOILENS
2345,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SOLIHIN DJOENG
2346,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SOLIHIN DJOENG
2347,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: RUSDI
2363,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SRI WAHYUNI
2364,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SRI WAHYUNI
2373,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUDADI
2374,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUDADI
2382,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SUGIYANTO
2383,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SUGIYANTO
